cust_id,state,area_code,bill_date,bill_type,invoice_id,invoice_amount,invoice_init_date,invoice_final_date,invoice_settled_date,disputed,days_to_settle,days_late
3271-HYHDN,Los Angeles,818,28-04-2013,Paper,354407690,45.56,12-04-2013,12-05-2013,17-04-2013,No,5,0
1604-LIFKX,Los Angeles,818,16-03-2013,Electronic,3693123052,47.82,25-04-2013,25-05-2013,03-06-2013,No,39,9
6160-HCSFI,State of OK,391,10-01-2013,Electronic,4026967253,69.48,30-08-2013,29-09-2013,17-09-2013,No,18,0
9883-SDWFS,State of KS,897,08-07-2013,Paper,1491017498,19.23,09-05-2012,08-06-2012,02-06-2012,No,24,0
3676-CQAIF,State of KS,897,29-07-2013,Paper,2137157897,20.55,21-07-2013,20-08-2013,06-08-2013,No,16,0
6831-FIODB,Atlanta,770,08-05-2013,Paper,7578902156,33.25,21-09-2012,21-10-2012,03-11-2012,Yes,43,13
3993-QUNVJ,Atlanta,770,31-12-2012,Paper,280670965,50.39,03-01-2012,02-02-2012,23-01-2012,No,20,0
3448-OWJOT,Montana,406,15-09-2012,Paper,7576910302,82.8,23-06-2012,23-07-2012,18-07-2012,No,25,0
6048-QPZCF,Montana,406,13-07-2012,Electronic,2732194894,77.08,09-06-2013,09-07-2013,27-06-2013,Yes,18,0
4640-FGEJI,Montana,406,04-04-2013,Paper,940363147,99.34,02-11-2012,02-12-2012,05-12-2012,No,33,3
2820-XGXSB,State of OK,391,26-01-2012,Electronic,8282397668,102.67,22-08-2013,21-09-2013,29-08-2013,No,7,0
9181-HEKGV,Los Angeles,818,16-10-2013,Paper,7214943606,88.36,21-04-2012,21-05-2012,12-06-2012,Yes,52,22
8156-PCYBM,State of OK,391,03-03-2012,Electronic,7410471356,50.88,07-09-2012,07-10-2012,08-10-2012,No,31,1
9771-QTLGZ,Montana,406,10-12-2012,Paper,6475160337,52.75,31-08-2012,30-09-2012,19-09-2012,Yes,19,0
0465-DTULQ,Atlanta,770,04-03-2013,Paper,4481983205,70.67,29-08-2012,28-09-2012,28-09-2012,No,30,0
9212-BTDMX,State of OK,391,22-04-2012,Electronic,6354957025,57.33,02-10-2012,01-11-2012,19-10-2012,No,17,0
5573-KSOIA,Montana,406,30-09-2013,Paper,8391971820,70.91,20-01-2012,19-02-2012,23-02-2012,No,34,4
7946-HJDUR,Los Angeles,818,21-02-2012,Electronic,9598751206,41.83,08-05-2013,07-06-2013,05-06-2013,No,28,0
1080-NDGAE,State of OK,391,28-09-2012,Electronic,5156029827,73.57,18-10-2012,17-11-2012,17-11-2012,Yes,30,0
9460-VAZGD,State of KS,897,10-08-2013,Paper,4028893076,28.37,26-06-2013,26-07-2013,07-07-2013,No,11,0
0688-XNJRO,State of KS,897,24-06-2012,Electronic,5963438295,25.79,16-07-2013,15-08-2013,23-08-2013,No,38,8
1408-OQZUE,State of KS,897,14-09-2012,Electronic,5822411556,64.29,12-12-2012,11-01-2013,27-01-2013,Yes,46,16
1080-NDGAE,State of OK,391,28-09-2012,Paper,246081324,92.53,06-09-2012,06-10-2012,13-10-2012,Yes,37,7
5920-DPXLN,State of OK,391,11-11-2012,Electronic,9344726527,68.39,28-05-2013,27-06-2013,10-06-2013,No,13,0
4092-ZAVRG,Montana,406,19-05-2012,Electronic,3453759273,81.27,09-12-2012,08-01-2013,13-12-2012,No,4,0
5529-TBPGK,State of OK,391,09-08-2013,Paper,4941612254,65.27,08-07-2012,07-08-2012,01-08-2012,No,24,0
9323-NDIOV,Atlanta,770,09-07-2012,Electronic,4398006570,44.81,30-09-2013,30-10-2013,29-10-2013,No,29,0
7228-LEPPM,Atlanta,770,30-04-2012,Electronic,7358381863,60.46,19-06-2012,19-07-2012,29-07-2012,No,40,10
7260-ZHAKS,Atlanta,770,17-06-2012,Electronic,8820244619,19.7,12-09-2013,12-10-2013,06-10-2013,No,24,0
2824-HJQPP,Los Angeles,818,04-09-2013,Paper,4080383560,58.79,04-01-2013,03-02-2013,25-01-2013,No,21,0
7946-HJDUR,Los Angeles,818,21-02-2012,Electronic,3974531546,43.28,04-05-2013,03-06-2013,04-06-2013,No,31,1
6831-FIODB,Atlanta,770,08-05-2013,Paper,2399454051,41.56,18-12-2012,17-01-2013,25-01-2013,No,38,8
7654-DOLHO,State of KS,897,04-04-2012,Paper,9769799106,20.47,01-02-2012,02-03-2012,10-03-2012,No,38,8
6296-UKEUZ,State of KS,897,26-11-2012,Electronic,5087638061,22,06-02-2013,08-03-2013,08-02-2013,No,2,0
3271-YDPUJ,State of KS,897,02-04-2013,Paper,8945288109,31.81,07-07-2012,06-08-2012,19-07-2012,No,12,0
3598-DNURW,State of OK,391,29-08-2012,Paper,7993778070,50.66,14-08-2012,13-09-2012,10-09-2012,No,27,0
9758-AIEIK,Montana,406,23-04-2012,Paper,3969347325,61.19,11-03-2012,10-04-2012,21-04-2012,Yes,41,11
9758-AIEIK,Montana,406,23-04-2012,Paper,8136944092,37.39,23-03-2012,22-04-2012,20-04-2012,No,28,0
