REF_NO,children,age_band,status,occupation,occupation_partner,home_status,family_income,self_employed,self_employed_partner,year_last_moved,TVarea,post_code,post_area,Average Credit Card Transaction,Balance Transfer,Term Deposit,Life Insurance,Medical Insurance,Average A/C Balance,Personal Loan,Investment in Mutual Fund,Investment Tax Saving Bond,Home Loan,Online Purchase Amount,Revenue Grid,gender,region,Investment in Commudity,Investment in Equity,Investment in Derivative,Portfolio Balance
1,Zero,51-55,Partner,Manual Worker,Secretarial/Admin,Own Home,"<17,500, >=15,000",No,No,1972,HTV,NP4 9HS,NP4,148.44,142.95,0,81.96,0,29.99,0,61.95,19.99,0,0,1,Female,Wales,74.67,18.66,32.32,89.43
2,Zero,55-60,Single/Never Married,Retired,Retired,Own Home,"<27,500, >=25,000",No,No,1998,Granada,M41 0QH,M41,0,74.98,0,25.99,0,0,0,0,0,0,0,2,Female,North West,20.19,0,4.33,22.78
3,Zero,26-30,Single/Never Married,Professional,Other,Own Home,"<30,000, >=27,500",Yes,No,1996,Tyne Tees,NE30 1JZ,NE30,0,166.44,20.99,291.37,11.48,166.94,0,15.99,0,3.49,0,2,Male,North,98.06,31.07,80.96,171.78
5,Zero,18-21,Single/Never Married,Professional,Manual Worker,Own Home,"<15,000, >=12,500",No,No,1997,Central,HR9 7RJ,HR9,0,0,0,20.49,0,39.46,0,45.44,0,0,0,2,Female,West Midlands,4.1,14.15,17.57,-41.7
6,Zero,45-50,Partner,Business Manager,Unknown,Own Home,"<30,000, >=27,500",No,No,1995,Scottish TV,KA10 7LS,KA10,73.45,57.96,0,177.42,41.95,39.47,10.97,212.84,0,45.91,25.98,2,Female,Scotland,70.16,55.86,80.44,235.02
7,Zero,55-60,Partner,Secretarial/Admin,Manual Worker,Own Home,"<17,500, >=15,000",No,Yes,1984,Anglia,IP24 1AY,IP24,0,125.45,0,129.96,0,0,0,88.95,0,0,0,2,Female,East Anglia,51.08,14.83,36.49,72.3
8,Zero,45-50,Partner,Professional,Manual Worker,Own Home,">=35,000",No,No,1985,Central,CV32 7BN,CV32,0,29.48,97.42,0.02,39.45,63.97,0,49.42,0,0,0,2,Female,West Midlands,33.27,18.9,25.48,115.28
9,1,36-40,Partner,Professional,Professional,Own Home,">=35,000",No,No,1993,Scottish TV,G68 9AN,G68,0,0.01,175.88,67.47,0,110.95,86.39,74.93,41.71,35.41,11.99,2,Female,Scotland,48.67,60.23,63.58,162.4
10,Zero,36-40,Single/Never Married,Secretarial/Admin,Unknown,Own Home,"<17,500, >=15,000",No,No,1995,Carlton,E15 3AR,E15,25,0,76.45,24.99,0,87.93,0,253.27,12.48,7.21,8.99,2,Male,South East,25.29,61.65,63.11,105.2
11,2,36-40,Partner,Professional,Professional,Own Home,">=35,000",No,No,1993,Granada,WA14 4UH,WA14,0,74.98,62.98,141.91,44.48,0,13.99,49.95,0,10.49,7.98,2,Female,North West,64.87,13.74,41.72,93.09
