ID,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length
81174.0,20000,20000,8.90%,36 months,debt_consolidation,14.90%,SC,MORTGAGE,6541.67,735-739,14,14272,2.0,< 1 year
99592.0,19200,19200,12.12%,36 months,debt_consolidation,28.36%,TX,MORTGAGE,4583.33,715-719,12,11140,1.0,2 years
80059.0,35000,35000,21.98%,60 months,debt_consolidation,23.81%,CA,MORTGAGE,11500.0,690-694,14,21977,1.0,2 years
15825.0,10000,9975,9.99%,36 months,debt_consolidation,14.30%,KS,MORTGAGE,3833.33,695-699,10,9346,0.0,5 years
62403.0,6000,6000,15.31%,36 months,other,20.05%,CT,OWN,4891.67,670-674,17,10391,2.0,3 years
48808.0,10000,10000,7.90%,36 months,debt_consolidation,26.09%,MA,RENT,2916.67,720-724,10,15957,0.0,10+ years
22090.0,33500,33450,17.14%,60 months,credit_card,14.70%,LA,MORTGAGE,13863.42,705-709,12,27874,0.0,10+ years
76404.0,14675,14675,14.33%,36 months,credit_card,26.92%,CA,RENT,3150.0,685-689,9,7246,1.0,8 years
15867.0,.,7000,6.91%,36 months,credit_card,7.10%,CA,RENT,5000.0,715-719,8,7612,0.0,3 years
94971.0,2000,2000,19.72%,36 months,moving,10.29%,FL,RENT,3575.0,670-674,10,12036,0.0,6 years
36911.0,10625,10625,14.27%,36 months,debt_consolidation,12.54%,CA,MORTGAGE,4250.0,665-669,14,10767,0.0,< 1 year
41200.0,28000,27975,21.67%,60 months,debt_consolidation,13.07%,CT,MORTGAGE,14166.67,670-674,12,10311,0.0,1 year
83869.0,35000,34950,8.90%,36 months,debt_consolidation,20.46%,CT,RENT,9166.67,735-739,19,21536,0.0,1 year
53853.0,9600,9600,7.62%,36 months,debt_consolidation,3.45%,DC,RENT,11250.0,725-729,13,4606,0.0,< 1 year
21399.0,25000,24975,15.65%,60 months,debt_consolidation,21.99%,CA,RENT,5416.67,730-734,6,13929,0.0,9 years
62127.0,10000,10000,12.12%,36 months,debt_consolidation,17.72%,CA,RENT,9000.0,695-699,18,20317,0.0,7 years
23446.0,14000,13900.25,10.37%,60 months,debt_consolidation,11.95%,OH,RENT,4333.33,740-744,6,7419,0.0,9 years
44987.0,10000,10000,9.76%,36 months,credit_card,7.13%,FL,RENT,2733.33,730-734,7,6112,2.0,3 years
99483.0,30000,30000,19.05%,60 months,credit_card,21.25%,FL,MORTGAGE,6250.0,695-699,12,34927,0.0,6 years
28798.0,6500,6500,17.99%,60 months,car,19.63%,FL,RENT,4100.0,665-669,11,11697,1.0,2 years
24168.0,17400,17400,11.99%,36 months,credit_card,12.47%,AZ,RENT,6833.33,695-699,7,26587,0.0,7 years
10356.0,4000,4000,16.82%,60 months,vacation,13.71%,GA,MORTGAGE,4500.0,670-674,5,20804,0.0,3 years
46027.0,7200,7200,7.90%,36 months,debt_consolidation,24.82%,TX,RENT,5416.67,705-709,8,12017,0.0,7 years
65278.0,8000,8000,15.31%,36 months,debt_consolidation,15.46%,CA,MORTGAGE,2916.67,675-679,.,7152,1.0,5 years
4227.0,3000,.,8.59%,36 months,other,3.72%,MA,MORTGAGE,4167.0,765-769,4,7074,0.0,5 years
50182.0,14500,14500,7.90%,36 months,debt_consolidation,4.85%,GA,MORTGAGE,3958.33,760-764,4,9598,0.0,4 years
87023.0,23850,23850,21.00%,60 months,debt_consolidation,28.81%,LA,MORTGAGE,5833.33,685-689,19,25968,3.0,9 years
46120.0,14000,14000,12.12%,36 months,debt_consolidation,14.93%,CA,MORTGAGE,10583.33,685-689,9,35457,0.0,2 years
30756.0,35000,34975,16.49%,60 months,debt_consolidation,7.45%,GA,MORTGAGE,10416.67,720-724,7,31414,0.0,8 years
94582.0,16000,16000,15.80%,60 months,car,11.94%,WV,RENT,5250.0,685-689,14,154,1.0,3 years
457.0,17350,7019.25,13.55%,36 months,debt_consolidation,18.52%,NH,OWN,3666.67,675-679,8,18966,2.0,6 years
96536.0,8000,7975,7.90%,36 months,car,29.62%,AL,MORTGAGE,5583.33,780-784,9,6065,1.0,10+ years
39591.0,7200,7200,7.90%,36 months,debt_consolidation,7.98%,GA,RENT,5666.67,720-724,5,8783,0.0,3 years
78862.0,20125,20125,7.62%,36 months,home_improvement,4.29%,VA,MORTGAGE,3750.0,830-834,13,73952,0.0,1 year
54619.0,12000,11875,8.90%,36 months,debt_consolidation,12.06%,NY,RENT,5000.0,715-719,11,14717,0.0,4 years
101798.0,.,1850,12.49%,36 months,home_improvement,20.56%,MD,MORTGAGE,3448.33,660-664,10,18749,5.0,< 1 year
98029.0,3200,3200,17.27%,36 months,home_improvement,8.36%,HI,MORTGAGE,2500.0,670-674,7,6619,1.0,3 years
4868.0,5500,5500,19.13%,36 months,credit_card,3.58%,DC,RENT,12000.0,660-664,2,0,1.0,8 years
26822.0,15650,15650,21.74%,36 months,house,13.86%,MD,RENT,3700.0,660-664,5,10605,1.0,4 years
