age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
46,blue-collar,married,basic.9y,no,no,yes,telephone,may,tue,329,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
29,admin.,single,university.degree,no,no,no,cellular,may,wed,132,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
50,management,married,university.degree,no,yes,yes,cellular,apr,fri,206,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
31,admin.,married,high.school,unknown,yes,no,telephone,may,thu,199,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
32,admin.,single,high.school,no,yes,no,cellular,jun,tue,350,1,999,0,nonexistent,-2.9,92.963,-40.8,1.262,5076.2,yes
33,admin.,single,university.degree,no,yes,yes,cellular,aug,mon,174,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
51,management,married,university.degree,no,yes,no,telephone,may,fri,317,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
40,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,231,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
34,blue-collar,married,professional.course,unknown,no,no,cellular,may,wed,65,2,999,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
35,admin.,single,high.school,no,no,no,cellular,may,fri,282,5,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
55,admin.,married,high.school,no,unknown,unknown,telephone,jun,fri,92,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no
34,technician,married,professional.course,no,yes,no,cellular,apr,fri,211,2,6,2,success,-1.8,93.749,-34.6,0.663,5008.7,no
31,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,475,1,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,yes
29,technician,single,high.school,no,no,no,cellular,aug,tue,63,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no
54,blue-collar,married,basic.9y,unknown,no,no,cellular,jul,thu,225,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
41,blue-collar,married,basic.6y,no,yes,no,cellular,may,fri,432,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no
52,retired,married,basic.4y,no,no,no,cellular,jul,mon,445,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
36,services,single,basic.9y,no,yes,yes,telephone,may,tue,117,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
53,blue-collar,married,basic.4y,no,no,yes,telephone,jun,mon,340,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
81,retired,married,university.degree,unknown,yes,yes,cellular,oct,tue,327,2,6,1,success,-3.4,92.431,-26.9,0.728,5017.5,no
71,retired,married,basic.4y,no,yes,no,cellular,jul,thu,519,2,9,3,failure,-1.7,94.215,-40.3,0.899,4991.6,yes
24,admin.,single,high.school,no,yes,no,telephone,may,mon,243,6,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191,no
52,technician,married,high.school,no,yes,no,cellular,aug,wed,13,14,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
55,admin.,married,high.school,no,no,no,telephone,may,thu,294,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191,no
29,admin.,single,university.degree,no,yes,no,telephone,jun,wed,694,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
52,blue-collar,married,basic.9y,no,yes,no,telephone,jun,thu,112,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
51,services,married,basic.6y,no,yes,no,telephone,may,thu,176,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
47,blue-collar,married,professional.course,unknown,yes,no,telephone,may,wed,131,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
48,blue-collar,married,professional.course,no,yes,yes,telephone,may,tue,231,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,technician,married,professional.course,no,no,yes,cellular,jul,thu,207,2,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
49,entrepreneur,married,university.degree,no,yes,no,cellular,apr,mon,334,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
34,admin.,single,university.degree,no,no,no,telephone,jun,wed,98,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
38,blue-collar,single,basic.6y,no,yes,yes,cellular,jul,thu,95,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
33,services,married,high.school,no,yes,no,cellular,apr,thu,239,1,999,0,nonexistent,-1.8,93.075,-47.1,1.365,5099.1,no
33,blue-collar,single,basic.4y,no,yes,yes,cellular,may,wed,409,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no
52,admin.,married,university.degree,no,no,yes,cellular,may,mon,434,2,999,0,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,no
45,services,divorced,basic.9y,no,no,no,cellular,apr,mon,231,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
32,blue-collar,married,basic.9y,no,yes,yes,cellular,jul,fri,396,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
26,management,single,university.degree,no,yes,no,cellular,jul,tue,201,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
51,admin.,divorced,university.degree,no,yes,no,cellular,aug,thu,218,6,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
41,blue-collar,married,basic.9y,no,yes,no,cellular,may,mon,7,6,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,no
33,entrepreneur,married,basic.9y,no,yes,yes,telephone,jul,wed,85,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
45,admin.,married,university.degree,no,no,no,cellular,aug,thu,323,1,999,0,nonexistent,-1.7,94.027,-38.3,0.904,4991.6,yes
36,self-employed,married,university.degree,no,yes,no,cellular,may,mon,176,1,999,0,nonexistent,-1.8,92.893,-46.2,1.264,5099.1,no
27,admin.,single,university.degree,no,no,no,telephone,jun,thu,64,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no
58,admin.,married,high.school,no,yes,no,cellular,may,fri,67,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no
45,blue-collar,married,basic.9y,no,no,no,cellular,nov,fri,126,2,999,1,failure,-0.1,93.2,-42,4.021,5195.8,no
25,admin.,single,high.school,no,yes,yes,cellular,may,fri,795,6,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no
59,retired,married,unknown,unknown,no,no,cellular,jul,wed,133,3,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
38,services,divorced,high.school,unknown,yes,no,cellular,apr,tue,620,1,2,1,success,-1.8,93.075,-47.1,1.453,5099.1,no
30,self-employed,married,university.degree,no,no,no,cellular,jul,thu,573,6,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
35,admin.,married,high.school,no,no,no,telephone,jun,wed,113,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
55,blue-collar,married,basic.4y,no,yes,no,cellular,aug,thu,100,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
42,blue-collar,married,basic.6y,unknown,no,yes,cellular,may,wed,29,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no
45,blue-collar,married,basic.6y,no,yes,no,cellular,apr,mon,170,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no
59,entrepreneur,married,university.degree,unknown,no,no,cellular,jul,mon,251,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
39,management,married,university.degree,no,yes,yes,cellular,nov,thu,90,3,999,0,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
58,admin.,married,university.degree,no,yes,no,cellular,jul,tue,275,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
40,admin.,single,university.degree,unknown,no,no,cellular,jul,mon,192,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
39,blue-collar,married,basic.9y,no,yes,yes,telephone,jul,fri,99,5,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
26,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,135,1,999,2,failure,-1.8,92.893,-46.2,1.266,5099.1,no
37,blue-collar,married,basic.6y,unknown,no,yes,telephone,may,fri,574,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,admin.,married,high.school,no,no,no,cellular,aug,thu,374,2,16,1,success,-1.7,94.027,-38.3,0.904,4991.6,yes
29,blue-collar,single,unknown,no,no,no,telephone,may,fri,92,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
30,services,married,high.school,unknown,yes,no,telephone,may,wed,502,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
30,unemployed,single,basic.9y,no,yes,no,cellular,nov,tue,537,1,999,0,nonexistent,-3.4,92.649,-30.1,0.72,5017.5,yes
52,entrepreneur,married,basic.9y,unknown,no,no,telephone,jun,mon,291,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
35,admin.,single,high.school,no,yes,no,telephone,may,fri,541,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
45,entrepreneur,married,high.school,no,no,no,cellular,nov,mon,623,1,999,1,failure,-0.1,93.2,-42,4.191,5195.8,no
44,services,married,high.school,unknown,yes,no,telephone,may,thu,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191,no
46,admin.,married,high.school,unknown,no,no,cellular,nov,mon,76,3,999,0,nonexistent,-0.1,93.2,-42,4.191,5195.8,no
38,technician,married,basic.9y,no,no,no,cellular,nov,tue,142,1,999,0,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
35,services,single,high.school,no,no,no,cellular,jul,tue,191,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
28,technician,married,university.degree,no,no,no,cellular,jul,mon,289,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no
45,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,223,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
24,student,single,professional.course,no,yes,no,cellular,jul,wed,817,2,999,0,nonexistent,-1.7,94.215,-40.3,0.896,4991.6,yes
32,technician,single,professional.course,no,yes,no,cellular,nov,fri,86,3,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
50,entrepreneur,married,basic.4y,unknown,yes,no,cellular,jul,thu,175,3,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no
36,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,tue,226,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
39,self-employed,married,university.degree,no,no,no,cellular,jul,fri,178,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
31,admin.,single,high.school,no,yes,no,cellular,nov,fri,63,1,999,0,nonexistent,-0.1,93.2,-42,4.021,5195.8,no
50,admin.,married,basic.6y,no,no,no,telephone,may,mon,61,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,blue-collar,married,basic.9y,no,yes,no,telephone,jun,tue,81,6,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
48,services,married,high.school,unknown,no,no,cellular,aug,thu,135,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
35,student,single,university.degree,unknown,no,no,telephone,jun,thu,618,1,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes
45,technician,married,university.degree,no,yes,no,telephone,may,fri,1143,3,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,yes
29,management,single,basic.9y,no,yes,yes,cellular,jul,fri,351,2,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no
37,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,23,1,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
41,management,married,university.degree,no,yes,no,telephone,jun,fri,248,1,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
56,admin.,married,university.degree,unknown,yes,yes,cellular,aug,wed,287,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
38,technician,single,university.degree,no,yes,yes,telephone,may,tue,156,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191,no
35,admin.,married,university.degree,no,yes,no,cellular,jul,tue,98,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
52,admin.,married,university.degree,no,yes,yes,cellular,jun,wed,247,2,999,0,nonexistent,-2.9,92.963,-40.8,1.26,5076.2,yes
32,blue-collar,married,basic.6y,no,yes,no,telephone,jun,fri,16,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
48,admin.,married,university.degree,no,yes,yes,telephone,may,wed,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191,no
36,admin.,single,university.degree,no,yes,no,cellular,may,tue,104,3,999,1,failure,-1.8,92.893,-46.2,1.291,5099.1,no
36,admin.,married,high.school,no,no,no,cellular,aug,mon,91,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
50,admin.,married,university.degree,no,no,no,cellular,jun,mon,269,1,3,1,success,-2.9,92.963,-40.8,1.215,5076.2,yes
44,blue-collar,married,basic.9y,unknown,no,no,cellular,aug,tue,787,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
37,admin.,divorced,university.degree,no,yes,no,cellular,may,tue,918,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,yes
42,blue-collar,married,basic.4y,unknown,yes,yes,telephone,may,mon,105,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
49,management,divorced,university.degree,no,no,no,cellular,nov,wed,364,2,6,1,success,-0.1,93.2,-42,4.12,5195.8,no
56,entrepreneur,married,basic.4y,no,no,no,telephone,may,mon,820,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191,no
36,housemaid,married,basic.6y,no,no,no,cellular,aug,mon,55,3,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no
59,retired,married,basic.4y,no,no,yes,telephone,jul,thu,22,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
39,management,married,basic.6y,unknown,no,no,telephone,jun,mon,156,5,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
47,blue-collar,married,basic.4y,no,yes,no,cellular,aug,mon,729,4,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
50,services,single,basic.6y,unknown,yes,no,cellular,apr,thu,429,1,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no
24,technician,single,university.degree,no,no,no,cellular,jul,thu,299,3,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
32,student,married,high.school,no,yes,no,telephone,dec,wed,87,5,999,0,nonexistent,-3,92.713,-33,0.715,5023.5,no
44,technician,divorced,professional.course,no,yes,no,cellular,jul,tue,121,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
39,blue-collar,married,basic.9y,unknown,yes,yes,cellular,apr,wed,120,1,999,1,failure,-1.8,93.075,-47.1,1.445,5099.1,no
