Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,0.0926,0.094,0.0944,0.0894,0.0981,0.0995,0.1062,0.099,0.1026,0.0982,0.0857,0.0856,0.079,0.0881,0.0953,0.1011,0.1096,0.1178
Angola,0.0191,0.0448,0.0333,0.0355,0.0397,0.0285,0.0269,0.0297,0.0332,0.0384,0.027,0.0265,0.024,0.0273,0.0243,0.0261,0.0271,0.0279
Andorra,0.0935,0.0936,0.0912,0.0846,0.0821,0.0857,0.0843,0.0843,0.0879,0.0903,0.0945,0.0977,0.1005,0.1011,0.1028,0.1025,0.1032,0.1032
United Arab Emirates,0.0237,0.0248,0.0272,0.0265,0.0246,0.0232,0.0233,0.0257,0.0293,0.0405,0.0388,0.0367,0.0343,0.0359,0.0363,0.0358,0.034,0.0333
Argentina,0.0847,0.0862,0.0765,0.0711,0.0723,0.0761,0.0755,0.0761,0.0767,0.0901,0.0861,0.084,0.0846,0.0837,0.0826,0.0879,0.0754,0.0912
Armenia,0.042,0.0465,0.0761,0.0718,0.0606,0.0586,0.0585,0.055,0.0664,0.0844,0.0924,0.0938,0.0913,0.1032,0.1018,0.1012,0.0995,0.1036
Antigua and Barbuda,0.0448,0.0528,0.0543,0.0581,0.0526,0.0497,0.0467,0.0471,0.0439,0.044,0.0519,0.053,0.0519,0.0542,0.0525,0.047,0.0436,0.0453
Australia,0.0761,0.077,0.0789,0.079,0.0811,0.0799,0.0799,0.0807,0.0826,0.0856,0.0843,0.0854,0.0868,0.0876,0.0904,0.0931,0.092,0.0921
Austria,0.092,0.0927,0.0939,0.0955,0.0971,0.0963,0.0953,0.0953,0.0973,0.1023,0.1022,0.1003,0.102,0.1029,0.1037,0.1037,0.1042,0.104
Azerbaijan,0.0389,0.0367,0.0368,0.0595,0.0719,0.0744,0.0576,0.0466,0.0405,0.052,0.0477,0.0451,0.049,0.0505,0.0547,0.0671,0.0666,0.0665
Burundi,0.0618,0.064,0.0647,0.0631,0.077,0.0842,0.0994,0.1058,0.0924,0.1035,0.1128,0.1007,0.0853,0.0814,0.0689,0.0658,0.0749,0.0752
Belgium,0.0794,0.0811,0.0826,0.0911,0.0913,0.0901,0.0891,0.0895,0.0934,0.1014,0.0997,0.1014,0.1027,0.1037,0.1041,0.1028,0.103,0.1034
Benin,0.0423,0.0443,0.0415,0.0415,0.042,0.0401,0.0406,0.0395,0.0368,0.0386,0.0409,0.0422,0.0467,0.0391,0.0365,0.0399,0.0386,0.0372
Burkina Faso,0.0332,0.0325,0.0334,0.0354,0.0474,0.0444,0.0509,0.0589,0.0523,0.0572,0.0589,0.0523,0.0518,0.0626,0.0562,0.0583,0.0701,0.0692
Bangladesh,0.02,0.0199,0.0215,0.0219,0.0221,0.0228,0.0232,0.0239,0.0235,0.024,0.025,0.0257,0.0257,0.025,0.025,0.0246,0.0231,0.0227
