PS,Country,Date,Confirmed,Deaths,Recovered,lat,lon
Anhui,China,2020-01-22,1.0,0.0,0.0,32.0,117.0
Anhui,China,2020-01-23,9.0,0.0,0.0,32.0,117.0
Anhui,China,2020-01-24,15.0,0.0,0.0,32.0,117.0
Anhui,China,2020-01-25,60.0,0.0,0.0,32.0,117.0
Anhui,China,2020-01-26,70.0,0.0,0.0,32.0,117.0
Anhui,China,2020-01-27,106.0,0.0,0.0,32.0,117.0
Anhui,China,2020-01-28,152.0,0.0,0.0,32.0,117.0
Anhui,China,2020-01-29,200.0,0.0,2.0,32.0,117.0
Anhui,China,2020-01-30,237.0,0.0,3.0,32.0,117.0
Anhui,China,2020-01-31,237.0,0.0,3.0,32.0,117.0
Anhui,China,2020-02-02,408.0,0.0,7.0,32.0,117.0
Arizona,US,2020-01-26,1.0,0.0,0.0,34.395342,-111.7632755
Arizona,US,2020-01-27,1.0,0.0,0.0,34.395342,-111.7632755
Arizona,US,2020-01-28,1.0,0.0,0.0,34.395342,-111.7632755
Arizona,US,2020-01-29,1.0,0.0,0.0,34.395342,-111.7632755
Arizona,US,2020-01-30,1.0,0.0,0.0,34.395342,-111.7632755
Arizona,US,2020-01-31,1.0,0.0,0.0,34.395342,-111.7632755
Bavaria,Germany,2020-01-27,1.0,0.0,0.0,48.9467562,11.4038717
Bavaria,Germany,2020-01-28,4.0,0.0,0.0,48.9467562,11.4038717
Bavaria,Germany,2020-01-29,4.0,0.0,0.0,48.9467562,11.4038717
Bavaria,Germany,2020-01-30,4.0,0.0,0.0,48.9467562,11.4038717
Bavaria,Germany,2020-01-31,7.0,0.0,0.0,48.9467562,11.4038717
Beijing,China,2020-01-22,14.0,0.0,0.0,39.906217,116.3912757
Beijing,China,2020-01-23,22.0,0.0,0.0,39.906217,116.3912757
Beijing,China,2020-01-24,36.0,0.0,1.0,39.906217,116.3912757
Beijing,China,2020-01-25,51.0,0.0,2.0,39.906217,116.3912757
Beijing,China,2020-01-26,68.0,0.0,2.0,39.906217,116.3912757
Beijing,China,2020-01-27,80.0,1.0,2.0,39.906217,116.3912757
Beijing,China,2020-01-28,91.0,1.0,4.0,39.906217,116.3912757
Beijing,China,2020-01-29,111.0,1.0,4.0,39.906217,116.3912757
Beijing,China,2020-01-30,121.0,1.0,5.0,39.906217,116.3912757
Beijing,China,2020-01-31,139.0,1.0,5.0,39.906217,116.3912757
Beijing,China,2020-02-02,191.0,1.0,9.0,39.906217,116.3912757
"Boston, MA",US,2020-02-02,1.0,0.0,0.0,42.3602534,-71.0582912
British Columbia,Canada,2020-01-28,1.0,0.0,0.0,55.001251,-125.002441
British Columbia,Canada,2020-01-29,1.0,0.0,0.0,55.001251,-125.002441
