year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2014,10,10,2105.0,0.0,2219.0,-11.0,WN,N455WN,4816,PDX,SMF,60.0,479,21.0,5.0
2014,8,13,1944.0,-1.0,2110.0,-3.0,DL,N699DL,761,SEA,JNU,127.0,909,19.0,44.0
2014,2,13,1230.0,-5.0,1434.0,-23.0,AS,N442AS,610,SEA,LAS,109.0,867,12.0,30.0
2014,12,8,1058.0,-2.0,1644.0,-1.0,AA,N3CTAA,1146,SEA,DFW,192.0,1660,10.0,58.0
2014,2,4,1841.0,-4.0,2058.0,13.0,AS,N754AS,302,SEA,SFO,98.0,679,18.0,41.0
2014,8,12,1649.0,-1.0,1848.0,-11.0,AS,N615AS,620,PDX,LAS,106.0,763,16.0,49.0
2014,1,5,1558.0,31.0,1737.0,24.0,UA,N838UA,468,PDX,SFO,83.0,550,15.0,58.0
2014,6,7,1350.0,20.0,2152.0,7.0,DL,N702TW,2647,SEA,JFK,278.0,2422,13.0,50.0
2014,5,7,1457.0,-8.0,1705.0,-17.0,AS,N644AS,520,SEA,BUR,112.0,937,14.0,57.0
2014,3,31,1620.0,20.0,1823.0,28.0,AS,N457AS,346,SEA,OAK,105.0,671,16.0,20.0
2014,4,25,1434.0,24.0,2015.0,5.0,WN,N746SW,858,PDX,MDW,208.0,1751,14.0,34.0
2014,11,23,1716.0,-4.0,2126.0,-5.0,DL,N584NW,2237,SEA,HNL,352.0,2677,17.0,16.0
2014,12,31,2151.0,26.0,559.0,36.0,B6,N603JB,1206,PDX,JFK,275.0,2454,21.0,51.0
2014,4,24,2059.0,-8.0,2157.0,2.0,OO,N566SW,5433,SEA,PDX,36.0,129,20.0,59.0
2014,2,3,1205.0,-5.0,1747.0,-8.0,AA,N592AA,1568,PDX,DFW,195.0,1616,12.0,5.0
2014,2,27,2206.0,1.0,554.0,-24.0,AS,N409AS,24,SEA,BOS,270.0,2496,22.0,6.0
2014,9,23,1447.0,7.0,1642.0,-8.0,WN,N8616C,4535,PDX,LAS,102.0,763,14.0,47.0
2014,4,10,839.0,-9.0,940.0,2.0,OO,N294SW,5411,SEA,PDX,34.0,129,8.0,39.0
2014,7,8,1649.0,-6.0,1925.0,-7.0,AS,N551AS,514,SEA,SNA,135.0,978,16.0,49.0
2014,3,27,1205.0,1.0,1248.0,4.0,OO,N290SW,5325,PDX,RDM,27.0,116,12.0,5.0
2014,1,20,1831.0,11.0,2035.0,10.0,UA,N47414,1153,SEA,SFO,100.0,679,18.0,31.0
2014,10,26,950.0,0.0,1236.0,-9.0,AS,N568AS,131,PDX,ANC,213.0,1542,9.0,50.0
2014,11,14,556.0,-4.0,827.0,-18.0,DL,N655DL,1831,PDX,SLC,75.0,630,5.0,56.0
2014,4,14,1528.0,-7.0,1742.0,-9.0,AS,N609AS,596,SEA,LAS,117.0,867,15.0,28.0
2014,1,29,1028.0,-2.0,1334.0,-16.0,WN,N619SW,48,PDX,DEN,106.0,991,10.0,28.0
2014,6,19,633.0,-7.0,901.0,-2.0,AS,N625AS,558,PDX,LAX,119.0,834,6.0,33.0
2014,11,1,1457.0,-3.0,1601.0,2.0,AS,N703AS,67,SEA,KTN,104.0,680,14.0,57.0
2014,2,22,555.0,-5.0,834.0,-8.0,AS,N512AS,81,SEA,ANC,204.0,1448,5.0,55.0
2014,9,19,1602.0,-3.0,1753.0,-9.0,AS,N323AS,344,SEA,OAK,95.0,671,16.0,2.0
2014,9,5,727.0,27.0,931.0,21.0,VX,N527VA,751,SEA,SFO,109.0,679,7.0,27.0
2014,7,23,700.0,0.0,1508.0,-9.0,DL,N722TW,2588,SEA,JFK,281.0,2422,7.0,0.0
2014,6,21,1334.0,49.0,1657.0,32.0,WN,N8612K,4243,PDX,DEN,129.0,991,13.0,34.0
2014,12,29,1820.0,25.0,2004.0,4.0,VX,N840VA,759,SEA,SFO,91.0,679,18.0,20.0
2014,11,6,1714.0,-1.0,2104.0,-29.0,AS,N593AS,863,PDX,OGG,337.0,2562,17.0,14.0
2014,9,2,659.0,-1.0,1511.0,-14.0,DL,N707TW,2588,SEA,JFK,266.0,2422,6.0,59.0
2014,5,17,904.0,-1.0,1713.0,-14.0,AS,N435AS,8,SEA,EWR,291.0,2402,9.0,4.0
2014,5,7,722.0,-3.0,852.0,-12.0,AS,N508AS,805,SEA,SMF,77.0,605,7.0,22.0
2014,5,21,1828.0,-2.0,2023.0,-19.0,AS,N799AS,302,SEA,SFO,92.0,679,18.0,28.0
2014,3,22,1050.0,0.0,1247.0,-6.0,AS,N546AS,310,SEA,SFO,101.0,679,10.0,50.0
2014,6,13,2050.0,0.0,2306.0,-4.0,AS,N403AS,566,PDX,LAX,110.0,834,20.0,50.0
2014,10,17,1825.0,5.0,2110.0,7.0,AS,N611AS,630,SEA,PHX,143.0,1107,18.0,25.0
2014,6,4,715.0,0.0,948.0,-17.0,AS,N596AS,833,PDX,HNL,320.0,2603,7.0,15.0
2014,10,16,1559.0,-6.0,1805.0,8.0,AS,N786AS,344,SEA,OAK,99.0,671,15.0,59.0
2014,7,30,542.0,2.0,923.0,13.0,UA,N535UA,244,SEA,DEN,144.0,1024,5.0,42.0
