Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,,Price
Abbotsford,85 Turner St,2,h,S,Biggin,3/12/2016,2.5,3067,2,1,1,202,,,Yarra,-37.7996,144.9984,Northern Metropolitan,,1480000
Abbotsford,25 Bloomburg St,2,h,S,Biggin,4/2/2016,2.5,3067,2,1,0,156,79,1900,Yarra,-37.8079,144.9934,Northern Metropolitan,,1035000
Abbotsford,5 Charles St,3,h,SP,Biggin,4/3/2017,2.5,3067,3,2,0,134,150,1900,Yarra,-37.8093,144.9944,Northern Metropolitan,,1465000
Abbotsford,40 Federation La,3,h,PI,Biggin,4/3/2017,2.5,3067,3,2,1,94,,,Yarra,-37.7969,144.9969,Northern Metropolitan,,850000
Abbotsford,55a Park St,4,h,VB,Nelson,4/6/2016,2.5,3067,3,1,2,120,142,2014,Yarra,-37.8072,144.9941,Northern Metropolitan,,1600000
Abbotsford,129 Charles St,2,h,S,Jellis,7/5/2016,2.5,3067,2,1,0,181,,,Yarra,-37.8041,144.9953,Northern Metropolitan,,941000
Abbotsford,124 Yarra St,3,h,S,Nelson,7/5/2016,2.5,3067,4,2,0,245,210,1910,Yarra,-37.8024,144.9993,Northern Metropolitan,,1876000
Abbotsford,98 Charles St,2,h,S,Nelson,8/10/2016,2.5,3067,2,1,2,256,107,1890,Yarra,-37.806,144.9954,Northern Metropolitan,,1636000
Abbotsford,6/241 Nicholson St,1,u,S,Biggin,8/10/2016,2.5,3067,1,1,1,0,,,Yarra,-37.8008,144.9973,Northern Metropolitan,,300000
Abbotsford,10 Valiant St,2,h,S,Biggin,8/10/2016,2.5,3067,3,1,2,220,75,1900,Yarra,-37.801,144.9989,Northern Metropolitan,,1097000
Abbotsford,411/8 Grosvenor St,2,u,VB,Jellis,12/11/2016,2.5,3067,2,2,1,0,,,Yarra,-37.811,145.0067,Northern Metropolitan,,700000
Abbotsford,40 Nicholson St,3,h,VB,Nelson,12/11/2016,2.5,3067,3,2,2,214,190,2005,Yarra,-37.8085,144.9964,Northern Metropolitan,,1350000
Abbotsford,123/56 Nicholson St,2,u,S,Biggin,12/11/2016,2.5,3067,2,2,1,0,94,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,,750000
Abbotsford,45 William St,2,h,S,Biggin,13/08/2016,2.5,3067,2,1,1,195,,,Yarra,-37.8084,144.9973,Northern Metropolitan,,1172500
