FUELCONSUMPTION,CO2EMISSIONS
8.5,196
9.6,221
5.9,136
11.1,255
10.6,244
10,230
10.1,232
11.1,255
11.6,267
9.2,212
9.8,225
10.4,239
15.6,359
15.6,359
14.7,338
15.4,354
14.7,338
15.4,354
15.6,359
8.8,202
10,230
9.3,214
10,230
10,230
9.3,214
10.2,235
10.9,251
8.3,224
11.2,258
8.3,224
11.2,258
11.3,260
8.4,227
11.2,258
12.5,288
15.7,361
8.5,230
10.5,242
10.4,239
11.2,258
9.2,212
9.1,246
13.2,304
10.9,294
14.6,336
17.7,407
15.4,354
17.8,409
14.6,336
17.7,407
15.4,354
17.8,409
13.3,306
13.4,308
12.6,290
11.4,262
12.4,285
11.4,262
12.4,285
11.6,267
12.2,281
12.2,281
12.9,297
12.7,292
9.1,209
9.1,209
10.3,237
10.3,237
12.9,297
15.5,356
13.9,320
16.5,380
14,322
16.5,380
16.5,380
19,437
8.4,193
8.7,200
8.8,202
6.7,181
6.7,181
8.4,193
8.7,200
9.1,209
9.1,209
9.1,209
9.6,221
10,230
9.9,228
10.3,237
10.1,232
8.4,193
8.7,200
9.1,209
9.6,221
10,230
9.9,228
10.3,237
8.8,202
9.1,209
7.9,213
10.1,232
10.7,246
12.2,281
12.7,292
10.1,232
12.7,292
12.2,281
12.7,292
10.7,246
12.7,292
12.7,292
15.5,356
8.3,191
9.3,214
9.2,212
12.7,292
12.7,292
14.7,338
13.8,317
14.7,338
13.8,317
14.7,338
13.8,317
14.7,338
13.8,317
9.1,209
11.3,260
10,230
11,253
11.1,255
13.9,320
16.1,370
11.9,274
14.1,324
9.1,209
8.7,200
12.1,278
11,253
12.1,278
12.3,283
12.6,290
8.5,196
9.2,212
11.5,264
15.6,250
11.5,264
16.5,264
8.2,189
9.9,228
9.8,225
10.7,246
8.2,189
9.9,228
9.8,225
9.5,218
9.6,221
10.2,235
9,207
10.9,251
10.1,232
11.3,260
11.2,258
11.4,262
10.1,232
10.8,248
10.8,248
11.3,260
12.8,294
11,253
11.3,260
11.1,255
11.4,262
16.6,382
14.8,340
16.6,382
14.8,340
16.6,382
14.8,340
14.7,338
20.1,322
16.4,377
22.1,354
12.3,283
12.8,294
11.4,262
11.8,271
12.6,290
11.2,258
11.7,269
10.5,242
12.8,294
12.7,292
16.6,382
14.8,340
12,276
11.2,258
7.8,179
7.8,179
8.8,202
8.2,189
7.1,192
7.7,177
7.1,163
9.1,209
12,276
16.2,259
10,230
12.6,290
17,272
15.1,347
15.9,366
20.9,334
16.5,380
21.5,344
16.5,380
21.5,344
16.5,380
22.6,362
16.5,380
21.5,344
16.5,380
22.6,362
18,414
18.8,432
25.7,411
18.2,419
18.9,435
25.8,413
9.6,221
10.6,244
14.3,229
8.7,200
9.9,228
8,184
10.6,244
10.2,235
11.8,271
16.8,269
12.7,292
16.9,270
14.1,324
12.6,290
17.8,285
13,299
17.3,277
14.3,329
8,184
7.5,173
8.3,191
7.9,182
8,184
7.5,172
8.3,191
7.9,182
8.3,191
7.9,182
8.3,191
7.9,182
6.9,159
6.9,159
13.8,317
18.4,294
13.8,317
18.4,294
13.8,317
18.4,294
13.8,317
18.4,294
12.3,283
12.6,290
8.4,193
8.1,186
9,207
10.3,237
10.1,232
10.7,246
10.5,242
14.4,230
9.8,225
10,230
10.5,242
14.4,230
12.8,294
10.9,251
13.4,308
10.9,251
14.8,237
10.3,237
13.9,222
13.8,317
12,276
16.8,269
9.8,225
10,230
10.5,242
14.4,230
11.2,258
13.1,301
12.8,294
13.9,320
13.8,317
11.2,258
10.3,237
12.8,294
10.9,251
13.4,308
10.9,251
14.8,237
11.2,258
15.7,251
10.2,235
13.9,222
13.8,317
8.1,186
8.6,198
8.8,202
8.6,198
12.2,195
9.2,212
8.8,202
7.3,168
7.3,168
14.4,331
12.1,278
15.6,250
11.8,271
16.5,264
11.1,255
12.4,285
12,276
16.2,259
7.8,179
7.8,179
7.9,182
7.2,166
7.8,179
7.9,182
6.8,156
7.8,179
8.7,200
8.4,193
6,138
16.2,373
21.9,350
17.2,396
22.5,360
16.8,386
23,368
21.2,488
18.3,421
23.9,382
9.8,225
10.8,248
11.5,264
12.2,281
9.1,209
9.6,221
9.4,216
9.3,214
10,230
16,368
21.6,346
10.2,235
13,299
11.9,274
15.9,254
12.5,288
16.7,267
12.7,292
12.8,294
15.9,366
13.8,317
13.4,308
17.5,402
12.3,283
16.5,264
12.3,283
16.5,264
14.6,336
19.7,315
14.6,336
19.7,315
13.4,308
18,288
13.4,308
18,288
14.9,343
20,320
14.8,340
19.9,318
18,414
7.6,175
7.6,175
6.6,152
7,161
8,184
11.5,264
12.1,278
12.8,294
